,name,zone,price,square_mt,rooms,wc,terraza,balcon,estado,año,armarios,cocina,amueblado,planta,calef,asc,exterior,cp,extract_day
31602656,"Alquiler de Piso en gran via de les corts catalanes, 300","La Font de la Guatlla, Barcelona",850,80,3,1,0,1,segunda mano/buen estado,1935,0,1,0,6,1,1,1,08004,2022-02-09
96540472,Alquiler de Piso en calle del Roser,"El Poble Sec - Parc de Montjuïc, Barcelona",2750,50,2,1,0,0,segunda mano/buen estado,,0,1,1,2,0,1,0,08004,2022-02-09
96477204,Alquiler de Piso en calle de les Hortes,"El Poble Sec - Parc de Montjuïc, Barcelona",800,53,2,1,0,1,segunda mano/buen estado,1905,0,0,0,1,1,0,0,08004,2022-02-09
87406962,Alquiler de Piso en Grases,"El Poble Sec - Parc de Montjuïc, Barcelona",975,52,1,1,0,1,segunda mano/buen estado,,1,0,0,1,0,1,1,08004,2022-02-09
87408499,Alquiler de Ático en calle de Grases,"El Poble Sec - Parc de Montjuïc, Barcelona",1175,52,1,1,1,1,segunda mano/buen estado,,1,0,0,2,1,1,1,08004,2022-02-09
96299075,Alquiler de Piso en calle de Jaume Fabra,"El Poble Sec - Parc de Montjuïc, Barcelona",860,65,3,1,0,1,segunda mano/buen estado,1970,0,0,0,4,0,1,0,08004,2022-02-09
96409743,Alquiler de Piso en El Poble Sec - Parc de Montjuïc,"Sants-Montjuïc, Barcelona",1075,82,3,1,1,0,segunda mano/buen estado,,0,1,0,1,1,1,1,08004,2022-02-09
96373621,Alquiler de Piso en calle de Blasco de Garay,"El Poble Sec - Parc de Montjuïc, Barcelona",1860,50,2,1,0,0,segunda mano/buen estado,,0,1,1,1,0,1,0,08004,2022-02-09
94076932,Alquiler de Piso en calle de la França Xica,"El Poble Sec - Parc de Montjuïc, Barcelona",2023,55,1,1,0,0,segunda mano/buen estado,,0,1,1,3,0,1,0,08004,2022-02-09
93668968,Alquiler de Piso en calle de Mata,"El Poble Sec - Parc de Montjuïc, Barcelona",775,54,3,1,0,1,segunda mano/buen estado,1973,0,0,0,4,0,1,1,08004,2022-02-09
87608986,Alquiler de Piso en calle del Roser,"El Poble Sec - Parc de Montjuïc, Barcelona",3961,70,2,2,0,0,segunda mano/buen estado,,0,1,1,1,0,0,0,08004,2022-02-09
96318413,Alquiler de Piso en avenida PARALELO,"El Poble Sec - Parc de Montjuïc, Barcelona",1500,130,5,2,0,0,segunda mano/buen estado,,0,1,0,1,0,1,1,08004,2022-02-09
38495481,Alquiler de Piso en avenida del Paraŀlel,"El Poble Sec - Parc de Montjuïc, Barcelona",1700,85,3,2,0,0,segunda mano/buen estado,,0,1,1,2,0,1,1,08004,2022-02-09
96623389,"Alquiler de Estudio en calle de Blasco de Garay, 51","El Poble Sec - Parc de Montjuïc, Barcelona",630,35,0,1,0,0,segunda mano/buen estado,,0,1,1,1,1,0,1,08004,2022-02-09
95134838,Alquiler de Piso en calle del Roser,"El Poble Sec - Parc de Montjuïc, Barcelona",2300,55,2,1,0,1,segunda mano/buen estado,,1,1,1,3,1,1,0,08004,2022-02-09
94683648,Alquiler de Piso en calle de Margarit,"El Poble Sec - Parc de Montjuïc, Barcelona",660,50,2,1,0,0,segunda mano/buen estado,,0,0,0,0,0,0,0,08004,2022-02-09
96606763,"Alquiler de Piso en Teodor Bonaplata, 6","El Poble Sec - Parc de Montjuïc, Barcelona",990,75,1,1,0,0,segunda mano/buen estado,,1,1,0,5,1,1,1,08004,2022-02-09
96538290,Alquiler de Piso en El Poble Sec - Parc de Montjuïc,"Sants-Montjuïc, Barcelona",700,50,2,1,0,0,segunda mano/buen estado,,0,0,0,1,0,0,0,08004,2022-02-09
96286872,Alquiler de Piso en calle de la Font Honrada,"El Poble Sec - Parc de Montjuïc, Barcelona",790,51,4,1,0,1,segunda mano/buen estado,1925,0,0,0,2,0,1,1,08004,2022-02-09
95933281,"Alquiler de Estudio en Lafont, 19","El Poble Sec - Parc de Montjuïc, Barcelona",590,22,0,1,0,0,segunda mano/buen estado,,0,0,0,1,0,0,1,08004,2022-02-09
96446661,Alquiler de Piso en paseo de Montjuïc,"El Poble Sec - Parc de Montjuïc, Barcelona",1000,82,3,1,0,0,segunda mano/buen estado,1965,0,1,1,1,0,1,1,08004,2022-02-09
96367676,Alquiler de Piso en La Font de la Guatlla,"Sants-Montjuïc, Barcelona",900,65,2,1,1,0,segunda mano/buen estado,1992,1,1,0,4,0,1,1,08004,2022-02-09
96044603,Alquiler de Ático en Salva,"El Poble Sec - Parc de Montjuïc, Barcelona",680,30,0,1,1,0,segunda mano/buen estado,1926,0,0,0,6,0,0,1,08004,2022-02-09
95952683,Alquiler de Piso en plaza del Sortidor,"El Poble Sec - Parc de Montjuïc, Barcelona",730,63,3,1,0,0,segunda mano/buen estado,1930,0,0,0,3,0,0,1,08004,2022-02-09
96629662,"Alquiler de Piso en calle de Puig i Xoriguer, 15","El Poble Sec - Parc de Montjuïc, Barcelona",1200,91,3,2,0,1,segunda mano/buen estado,,1,1,1,3,0,1,1,08004,2022-02-09
94328538,"Alquiler de Piso en calle de Lafont, 6","El Poble Sec - Parc de Montjuïc, Barcelona",760,45,2,2,0,0,segunda mano/buen estado,,0,1,1,2,0,0,1,08004,2022-02-09
96604005,"Alquiler de Piso en Urb. Poble Sec, El Poble Sec - Parc de Montjuïc","Sants-Montjuïc, Barcelona",800,52,3,1,0,1,segunda mano/buen estado,,1,1,0,2,1,1,0,08004,2022-02-09
89941982,"Alquiler de Piso en calle de Margarit, 17","El Poble Sec - Parc de Montjuïc, Barcelona",1100,100,3,1,0,1,segunda mano/buen estado,,0,1,1,1,0,0,1,08004,2022-02-09
95893648,Alquiler de Piso en calle Querol,"La Font de la Guatlla, Barcelona",865,28,1,1,0,0,segunda mano/buen estado,1975,0,1,1,3,0,1,0,08004,2022-02-09
